Configuration	Term	J	Level (eV)	Uncertainty (eV)	Leading percentages	Reference
"2p6.3s"	"2S"	"1/2"	" 0.000000000"	""	"                                                                                              "	"L13237"
"2p6.3p"	"2P*"	"1/2"	" 2.102297159"	"0.000000014"	"                                                                                              "	""
"2p6.3p"	"2P*"	"3/2"	" 2.104429184"	"0.000000014"	"                                                                                              "	""
"2p6.4s"	"2S"	"1/2"	" 3.1913531"	"0.0000004"	"                                                                                              "	""
"2p6.3d"	"2D"	"5/2"	" 3.61697078"	"0.00000025"	"                                                                                              "	""
"2p6.3d"	"2D"	"3/2"	" 3.61697698"	"0.00000025"	"                                                                                              "	""
"2p6.4p"	"2P*"	"1/2"	" 3.7526285"	"0.0000025"	"                                                                                              "	""
"2p6.4p"	"2P*"	"3/2"	" 3.7533215"	"0.0000025"	"                                                                                              "	""
"2p6.5s"	"2S"	"1/2"	" 4.11635879"	"0.00000025"	"                                                                                              "	""
"2p6.4d"	"2D"	"5/2"	" 4.28349644"	"0.00000025"	"                                                                                              "	""
"2p6.4d"	"2D"	"3/2"	" 4.28350078"	"0.00000025"	"                                                                                              "	""
"2p6.4f"	"2F*"	"7/2"	" 4.2882315"	"0.0000025"	"                                                                                              "	""
"2p6.4f"	"2F*"	"5/2"	" 4.2882315"	"0.0000025"	"                                                                                              "	""
"2p6.5p"	"2P*"	"1/2"	" 4.3444534"	"0.0000025"	"                                                                                              "	""
"2p6.5p"	"2P*"	"3/2"	" 4.3447596"	"0.0000025"	"                                                                                              "	""
"2p6.6s"	"2S"	"1/2"	" 4.50962985"	"0.00000025"	"                                                                                              "	""
"2p6.5d"	"2D"	"5/2"	" 4.59197197"	"0.00000025"	"                                                                                              "	""
"2p6.5d"	"2D"	"3/2"	" 4.59197445"	"0.00000025"	"                                                                                              "	""
"2p6.5f"	"2F*"	"7/2"	" 4.5945630"	"0.0000025"	"                                                                                              "	""
"2p6.5f"	"2F*"	"5/2"	" 4.5945630"	"0.0000025"	"                                                                                              "	""
"2p6.5g"	"2G"	"7/2,9/2"	" 4.594797"	"0.000009"	"                                                                                              "	""
"2p6.6p"	"2P*"	"1/2"	" 4.6241543"	"0.0000025"	"                                                                                              "	""
"2p6.6p"	"2P*"	"3/2"	" 4.6243142"	"0.0000025"	"                                                                                              "	""
"2p6.7s"	"2S"	"1/2"	" 4.71289252"	"0.00000025"	"                                                                                              "	""
"2p6.6d"	"2D"	"5/2"	" 4.75941300"	"0.00000025"	"                                                                                              "	""
"2p6.6d"	"2D"	"3/2"	" 4.75941461"	"0.00000025"	"                                                                                              "	""
"2p6.6f"	"2F*"	"7/2"	" 4.7609671"	"0.0000025"	"                                                                                              "	""
"2p6.6f"	"2F*"	"5/2"	" 4.7609671"	"0.0000025"	"                                                                                              "	""
"2p6.6g"	"2G"	"7/2"	"[4.76110477]"	"0.00000025"	"                                                                                              "	""
"2p6.6g"	"2G"	"9/2"	"[4.76110526]"	"0.00000025"	"                                                                                              "	""
"2p6.6h"	"2H*"	"11/2"	"[4.76113539]"	"0.00000025"	"                                                                                              "	""
"2p6.6h"	"2H*"	"9/2"	"[4.76113613]"	"0.00000025"	"                                                                                              "	""
"2p6.7p"	"2P*"	"1/2"	" 4.7783733"	"0.0000025"	"                                                                                              "	""
"2p6.7p"	"2P*"	"3/2"	" 4.7784663"	"0.0000025"	"                                                                                              "	""
"2p6.8s"	"2S"	"1/2"	" 4.8314794"	"0.0000025"	"                                                                                              "	""
"2p6.7d"	"2D"	"5/2"	" 4.8602958"	"0.0000025"	"                                                                                              "	""
"2p6.7d"	"2D"	"3/2"	" 4.8602958"	"0.0000025"	"                                                                                              "	""
"2p6.7f"	"2F*"	"7/2"	" 4.8612939"	"0.0000025"	"                                                                                              "	""
"2p6.7f"	"2F*"	"5/2"	" 4.8612939"	"0.0000025"	"                                                                                              "	""
"2p6.7g"	"2G"	"7/2,9/2"	"[4.86138628]"	"0.00000025"	"                                                                                              "	""
"2p6.7h"	"2H*"	"9/2,11/2"	"[4.86140637]"	"0.00000025"	"                                                                                              "	""
"2p6.8p"	"2P*"	"1/2"	" 4.8723744"	"0.0000025"	"                                                                                              "	""
"2p6.8p"	"2P*"	"3/2"	" 4.8724351"	"0.0000025"	"                                                                                              "	""
"2p6.9s"	"2S"	"1/2"	" 4.9066560"	"0.0000025"	"                                                                                              "	""
"2p6.8d"	"2D"	"5/2"	" 4.9257310"	"0.0000025"	"                                                                                              "	""
"2p6.8d"	"2D"	"3/2"	" 4.9257310"	"0.0000025"	"                                                                                              "	""
"2p6.8f"	"2F*"	"7/2"	" 4.9264079"	"0.0000025"	"                                                                                              "	""
"2p6.8f"	"2F*"	"5/2"	" 4.9264079"	"0.0000025"	"                                                                                              "	""
"2p6.8g"	"2G"	"7/2,9/2"	"[4.92647216]"	"0.00000025"	"                                                                                              "	""
"2p6.8h"	"2H*"	"9/2,11/2"	"[4.92648605]"	"0.00000025"	"                                                                                              "	""
"2p6.9p"	"2P*"	"1/2"	"[4.93388654]"	"0.00000025"	"                                                                                              "	""
"2p6.9p"	"2P*"	"3/2"	"[4.93392758]"	"0.00000025"	"                                                                                              "	""
"2p6.10s"	"2S"	"1/2"	" 4.9572936"	"0.0000025"	"                                                                                              "	""
"2p6.9d"	"2D"	"5/2"	" 4.9705649"	"0.0000025"	"                                                                                              "	""
"2p6.9d"	"2D"	"3/2"	" 4.9705649"	"0.0000025"	"                                                                                              "	""
"2p6.9f"	"2F*"	"7/2"	" 4.9710460"	"0.0000025"	"                                                                                              "	""
"2p6.9f"	"2F*"	"5/2"	" 4.9710460"	"0.0000025"	"                                                                                              "	""
"2p6.9g"	"2G"	"7/2,9/2"	"[4.97109445]"	"0.00000025"	"                                                                                              "	""
"2p6.9h"	"2H*"	"9/2,11/2"	"[4.97110424]"	"0.00000025"	"                                                                                              "	""
"2p6.10p"	"2P*"	"1/2"	" 4.97633017"	"0.00000025"	"                                                                                              "	""
"2p6.10p"	"2P*"	"3/2"	" 4.97635906"	"0.00000025"	"                                                                                              "	""
"2p6.11s"	"2S"	"1/2"	" 4.99301671"	"0.00000025"	"                                                                                              "	""
"2p6.10d"	"2D"	"5/2"	" 5.00262784"	"0.00000025"	"                                                                                              "	""
"2p6.10d"	"2D"	"3/2"	" 5.00262821"	"0.00000025"	"                                                                                              "	""
"2p6.10f"	"2F*"	"7/2"	"[5.00298070]"	"0.00000025"	"                                                                                              "	""
"2p6.10f"	"2F*"	"5/2"	"[5.00298070]"	"0.00000025"	"                                                                                              "	""
"2p6.10g"	"2G"	"7/2,9/2"	"[5.00301219]"	"0.00000025"	"                                                                                              "	""
"2p6.10h"	"2H*"	"9/2,11/2"	"[5.00301938]"	"0.00000025"	"                                                                                              "	""
"2p6.11p"	"2P*"	"1/2"	" 5.00684454"	"0.00000025"	"                                                                                              "	""
"2p6.11p"	"2P*"	"3/2"	" 5.00686587"	"0.00000025"	"                                                                                              "	""
